STATEFP20,COUNTYFP20,VTDST20,GEOID20,VTDI20,NAME20,NAMELSAD20,LSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
34,035,005008,34035005008,P,Bedminster township voting district 8,Bedminster township voting district 8,00,G5240,S,563225,0,+40.6538049,-074.6292110
34,035,040212,34035040212,A,Franklin township ward 2 voting district 12,Franklin township ward 2 voting district 12,00,G5240,N,7875871,83176,+40.5330992,-074.5459246
34,035,040438,34035040438,A,Franklin township ward 4 voting district 38,Franklin township ward 4 voting district 38,00,G5240,N,964234,0,+40.4904876,-074.4967129
34,035,105001,34035105001,A,Watchung borough voting district 1,Watchung borough voting district 1,00,G5240,N,2144555,53833,+40.6360417,-074.4618981
34,035,030036,34035030036,A,Bridgewater township voting district 36,Bridgewater township voting district 36,00,G5240,N,757901,0,+40.5936693,-074.6695360
34,035,030003,34035030003,A,Bridgewater township voting district 3,Bridgewater township voting district 3,00,G5240,N,2364886,136415,+40.5604495,-074.5922802
34,035,090012,34035090012,A,Somerville borough voting district 12,Somerville borough voting district 12,00,G5240,N,361075,0,+40.5678588,-074.5904458
34,035,030006,34035030006,A,Bridgewater township voting district 6,Bridgewater township voting district 6,00,G5240,N,2526435,1786,+40.6280251,-074.6038128
34,035,100004,34035100004,P,Warren township voting district 4,Warren township voting district 4,00,G5240,S,2887598,7442,+40.6107485,-074.5480271
34,035,040549,34035040549,P,Franklin township ward 5 voting district 49,Franklin township ward 5 voting district 49,00,G5240,S,745019,81469,+40.5101657,-074.4888809
34,035,040326,34035040326,A,Franklin township ward 3 voting district 26,Franklin township ward 3 voting district 26,00,G5240,N,10219393,268644,+40.5097016,-074.5595170
34,035,010004,34035010004,A,Bernards township voting district 4,Bernards township voting district 4,00,G5240,N,1940993,0,+40.6560460,-074.6044698
34,035,040331,34035040331,A,Franklin township ward 3 voting district 31,Franklin township ward 3 voting district 31,00,G5240,N,5467607,9338,+40.4597543,-074.5256945
34,035,025006,34035025006,A,Branchburg township voting district 6,Branchburg township voting district 6,00,G5240,N,5296750,124696,+40.5542727,-074.7016361
34,035,030023,34035030023,A,Bridgewater township voting district 23,Bridgewater township voting district 23,00,G5240,N,2870539,0,+40.6155055,-074.5981692
34,035,065006,34035065006,A,Montgomery township voting district 6,Montgomery township voting district 6,00,G5240,N,2739311,56145,+40.4315295,-074.6278044
34,035,085001,34035085001,A,Rocky Hill borough voting district 1,Rocky Hill borough voting district 1,00,G5240,N,1581982,8439,+40.4003475,-074.6389222
34,035,020005,34035020005,A,Bound Brook borough voting district 5,Bound Brook borough voting district 5,00,G5240,N,329300,0,+40.5697662,-074.5322216
34,035,065016,34035065016,A,Montgomery township voting district 16,Montgomery township voting district 16,00,G5240,N,3067532,7242,+40.3996907,-074.7160161
34,035,050014,34035050014,A,Hillsborough township voting district 14,Hillsborough township voting district 14,00,G5240,N,676954,0,+40.4988118,-074.6647846
34,035,010014,34035010014,A,Bernards township voting district 14,Bernards township voting district 14,00,G5240,N,2646869,4037,+40.6677512,-074.5637798
34,035,065017,34035065017,A,Montgomery township voting district 17,Montgomery township voting district 17,00,G5240,N,662481,0,+40.4666380,-074.6579123
34,035,040548,34035040548,P,Franklin township ward 5 voting district 48,Franklin township ward 5 voting district 48,00,G5240,S,434448,34428,+40.5085849,-074.4820422
34,035,040551,34035040551,P,Franklin township ward 5 voting district51,Franklin township ward 5 voting district51,00,G5240,S,1076466,24543,+40.5169368,-074.4968935
34,035,010023,34035010023,A,Bernards township voting district 23,Bernards township voting district 23,00,G5240,N,535484,0,+40.6537633,-074.6188371
34,035,040329,34035040329,A,Franklin township ward 3 voting district 29,Franklin township ward 3 voting district 29,00,G5240,N,2429409,0,+40.4857366,-074.5235875
34,035,080001,34035080001,A,Raritan borough voting district 1,Raritan borough voting district 1,00,G5240,N,872064,53561,+40.5663773,-074.6347854
34,035,100009,34035100009,P,Warren township voting district 9,Warren township voting district 9,00,G5240,S,3651874,26286,+40.6627603,-074.4658746
34,035,030026,34035030026,A,Bridgewater township voting district 26,Bridgewater township voting district 26,00,G5240,N,2035303,0,+40.6188662,-074.6411468
34,035,075001,34035075001,A,Peapack and Gladstone borough voting district 1,Peapack and Gladstone borough voting district 1,00,G5240,N,6797959,7994,+40.7166780,-074.6682554
34,035,030014,34035030014,A,Bridgewater township voting district 14,Bridgewater township voting district 14,00,G5240,N,1921452,0,+40.5720679,-074.5697346
34,035,050005,34035050005,P,Hillsborough township voting district 5,Hillsborough township voting district 5,00,G5240,S,2812821,45421,+40.5475227,-074.6085052
34,035,070002,34035070002,A,North Plainfield borough voting district 2,North Plainfield borough voting district 2,00,G5240,N,490614,0,+40.6301468,-074.4215893
34,035,090006,34035090006,A,Somerville borough voting district 6,Somerville borough voting district 6,00,G5240,N,388187,0,+40.5682292,-074.5970674
34,035,040441,34035040441,A,Franklin township ward 4 voting district 41,Franklin township ward 4 voting district 41,00,G5240,N,485933,0,+40.4954315,-074.4789099
34,035,100002,34035100002,A,Warren township voting district 2,Warren township voting district 2,00,G5240,N,2286545,0,+40.6302863,-074.5408483
34,035,050004,34035050004,P,Hillsborough township voting district 4,Hillsborough township voting district 4,00,G5240,S,10474065,6152,+40.4817654,-074.6342754
34,035,010006,34035010006,A,Bernards township voting district 6,Bernards township voting district 6,00,G5240,N,1853223,0,+40.6995753,-074.5620095
34,035,010008,34035010008,A,Bernards township voting district 8,Bernards township voting district 8,00,G5240,N,1980386,0,+40.6820690,-074.5753398
34,035,040550,34035040550,A,Franklin township ward 5 voting district 50,Franklin township ward 5 voting district 50,00,G5240,N,704751,0,+40.5072890,-074.4986215
34,035,030034,34035030034,A,Bridgewater township voting district 34,Bridgewater township voting district 34,00,G5240,N,557664,0,+40.5849059,-074.6694899
34,035,065012,34035065012,A,Montgomery township voting district 12,Montgomery township voting district 12,00,G5240,N,3072053,63754,+40.4495731,-074.6101417
34,035,050009,34035050009,A,Hillsborough township voting district 9,Hillsborough township voting district 9,00,G5240,N,3752742,86785,+40.4867358,-074.5864614
34,035,050016,34035050016,A,Hillsborough township voting district 16,Hillsborough township voting district 16,00,G5240,N,328781,0,+40.5145926,-074.6424290
34,035,040330,34035040330,A,Franklin township ward 3 voting district 30,Franklin township ward 3 voting district 30,00,G5240,N,3714668,0,+40.4735979,-074.5161460
34,035,025010,34035025010,A,Branchburg township voting district 10,Branchburg township voting district 10,00,G5240,N,2763952,33800,+40.5898666,-074.6899745
34,035,005009,34035005009,A,Bedminster township voting district 9,Bedminster township voting district 9,00,G5240,N,609092,0,+40.6629163,-074.6373898
34,035,050018,34035050018,A,Hillsborough township voting district 18,Hillsborough township voting district 18,00,G5240,N,1841484,0,+40.4646360,-074.6212668
34,035,040334,34035040334,A,Franklin township ward 3 voting district 34,Franklin township ward 3 voting district 34,00,G5240,N,335779,0,+40.4477751,-074.5291540
34,035,055003,34035055003,A,Manville borough voting district 3,Manville borough voting district 3,00,G5240,N,1403003,97288,+40.5399920,-074.5811005
34,003,215002,34003215002,A,Old Tappan borough voting district 2,Old Tappan borough voting district 2,00,G5240,N,3300395,2147593,+41.0233048,-073.9842230
34,003,015016,34003015016,A,Bergenfield borough voting district 16,Bergenfield borough voting district 16,00,G5240,N,432827,0,+40.9340758,-074.0075741
34,003,190002,34003190002,A,New Milford borough voting district 2,New Milford borough voting district 2,00,G5240,N,653773,0,+40.9491261,-074.0087353
